runtime,EnergySpectrumInputFile,SmearedSpectrumOutputFile,OutputPlotFile,SigmaValue,Xmin,Xmax,XStepSize,MeshSize,Platform,ClusterSize,Script_RUNTIME
20210731_215930,EnergySpectrum9.7.dat,EnergySpectrum9.7_Smeared_Sig0.15.txt,EnergySpectrum9.7_Smeared_Sig0.15_20210731_215930,0.15,3.065,35.009,0.01,0.01,Windows,4,0:00:16.772496
20210731_220052,spec3.7.dat,spec3.7_Smeared_Sig0.15.txt,spec3.7_Smeared_Sig0.15_20210731_220052,0.15,2.975,40.033,0.01,0.01,Windows,4,0:00:16.239432
20210801_085015,Nd142_8MeV_L0.txt,Nd142_8MeV_L0_Smeared_Sig0.15.txt,Nd142_8MeV_L0_Smeared_Sig0.15_20210801_085015,0.15,0.0,17.0,0.01,0.01,Windows,4,0:00:11.123404
20210801_085209,Nd142_8MeV_L0.txt,Nd142_8MeV_L0_Smeared_Sig0.15.txt,Nd142_8MeV_L0_Smeared_Sig0.15_20210801_085209,0.15,0.0,17.0,0.01,0.01,Windows,4,0:00:09.206275
20210801_085316,Nd142_8MeV_L0.txt,Nd142_8MeV_L0_Smeared_Sig1.00.txt,Nd142_8MeV_L0_Smeared_Sig1.00_20210801_085316,1.0,0.0,17.0,0.01,0.01,Windows,4,0:00:09.224036
20210801_085400,Nd142_8MeV_L0.txt,Nd142_8MeV_L0_Smeared_Sig0.50.txt,Nd142_8MeV_L0_Smeared_Sig0.50_20210801_085400,0.5,0.0,17.0,0.01,0.01,Windows,4,0:00:09.918272
20210801_085439,Nd142_8MeV_L0.txt,Nd142_8MeV_L0_Smeared_Sig0.20.txt,Nd142_8MeV_L0_Smeared_Sig0.20_20210801_085439,0.2,0.0,17.0,0.01,0.01,Windows,4,0:00:09.986441
20210801_085513,Nd142_8MeV_L0.txt,Nd142_8MeV_L0_Smeared_Sig0.28.txt,Nd142_8MeV_L0_Smeared_Sig0.28_20210801_085513,0.28,0.0,17.0,0.01,0.01,Windows,4,0:00:09.512126
20210801_085559,Nd142_8MeV_L0.txt,Nd142_8MeV_L0_Smeared_Sig0.28.txt,Nd142_8MeV_L0_Smeared_Sig0.28_20210801_085559,0.28,0.0,17.0,0.01,0.01,Windows,4,0:00:07.254539
20210801_090027,spec3.7.dat,spec3.7_Smeared_Sig0.28.txt,spec3.7_Smeared_Sig0.28_20210801_090027,0.28,2.975,40.033,0.01,0.01,Windows,4,0:00:13.136817
20210801_090127,spec3.7.dat,spec3.7_Smeared_Sig0.15.txt,spec3.7_Smeared_Sig0.15_20210801_090127,0.15,2.975,40.033,0.01,0.01,Windows,4,0:00:12.994774
20210801_090215,spec3.7.dat,spec3.7_Smeared_Sig0.15.txt,spec3.7_Smeared_Sig0.15_20210801_090215,0.15,2.975,40.033,0.01,0.01,Windows,4,0:00:19.283630
20210802_141926,spec3.7.dat,spec3.7_Smeared_Sig0.15.txt,spec3.7_Smeared_Sig0.15_20210802_141926,0.15,2.975,40.033,0.01,0.01,Windows,4,0:00:16.060612
